   Temper          r       Ro       GRR         T   lambda        Dt
2    10.0 0.03042894  30.1787 138.29507 111.97028 1.030897 22.779213
3    10.5 0.03411185  35.9578 149.84432 105.01765 1.034700 20.319838
4    11.0 0.03786048  42.1199 161.56773  98.79749 1.038586 18.307935
5    11.5 0.04180805  49.3054 174.25770  93.23643 1.042694 16.579274
6    12.0 0.04568064  56.2966 187.76200  88.23506 1.046740 15.173762
7    12.5 0.04961337  63.7836 201.90633  83.75758 1.050865 13.970975
8    13.0 0.05359233  71.6555 216.46345  79.71047 1.055054 12.933701
9    13.5 0.05737759  78.5780 231.71837  76.05917 1.059056 12.080452
10   14.0 0.06133284  86.6746 246.76002  72.75321 1.063253 11.301404
11   14.5 0.06529646  95.1453 261.30329  69.76496 1.067475 10.615386
12   15.0 0.06899529 102.3060 278.00890  67.07659 1.071431 10.046297
13   15.5 0.07282698 110.5911 293.22088  64.61671 1.075544  9.517726
14   16.0 0.07636153 117.3034 307.60107  62.39744 1.079353  9.077178
15   16.5 0.08003568 125.4247 319.69635  60.36939 1.083326  8.660477
16   17.0 0.08325141 130.9201 333.66745  58.55261 1.086815  8.325952
17   17.5 0.08631071 135.7715 345.00064  56.89877 1.090145  8.030836
18   18.0 0.08955994 142.6113 354.18222  55.38328 1.093693  7.739478
19   18.5 0.09213315 145.3039 361.77245  54.03948 1.096511  7.523320
20   19.0 0.09452244 147.3057 366.92976  52.81825 1.099134  7.333150
21   19.5 0.09665647 148.2987 369.20580  51.72161 1.101482  7.171245
22   20.0 0.09892835 151.0102 368.96182  50.71698 1.103987  7.006558
23   20.5 0.10045366 149.6297 366.74161  49.85546 1.105672  6.900169
24   21.0 0.10153133 145.9977 360.04526  49.08427 1.106865  6.826929
25   21.5 0.10225273 141.2202 351.66342  48.41260 1.107663  6.778764
26   22.0 0.10258758 135.3686 340.77994  47.84206 1.108034  6.756638
27   22.5 0.10263824 129.0357 326.61018  47.35164 1.108090  6.753304
28   23.0 0.10290739 124.9008 310.25741  46.91130 1.108389  6.735640
29   23.5 0.10199624 115.9415 292.88340  46.60060 1.107379  6.795811
30   24.0 0.10063496 106.2506 273.31594  46.36361 1.105873  6.887737
31   24.5 0.09881205  96.1489 252.28485  46.20791 1.103859  7.014804
32   25.0 0.09652006  85.9486 231.27688  46.14325 1.101332  7.181380
33   25.5 0.09375373  75.6970 209.94480  46.15004 1.098289  7.393276
34   26.0 0.09051081  65.7698 189.52001  46.25039 1.094733  7.658170
35   26.5 0.08679003  56.2137 168.10038  46.42423 1.090668  7.986484
36   27.0 0.08259798  47.2758 148.45952  46.68393 1.086105  8.391817
37   27.5 0.07751652  38.3578 130.43569  47.04749 1.080600  8.941929
38   28.0 0.07232967  31.0349 112.76201  47.49244 1.075010  9.583165
39   28.5 0.06671244  24.6468  96.87366  48.03673 1.068988 10.390074
40   29.0 0.06009106  18.6570  83.10187  48.69645 1.061933 11.534947
41   29.5 0.05360219  14.1666  70.45479  49.45482 1.055065 12.931321
42   30.0 0.04487161   9.6008  59.55673  50.40707 1.045894 15.447343
43   30.5 0.03766501   6.9351  49.59723  51.41630 1.038383 18.402946
44   31.0 0.02940079   4.6866  41.22276  52.53966 1.029837 23.575805
