    Temper             r     Ro      GRR         T    lambda          Dt
2    15.00 -0.0066622067 0.5005 18.22315 103.89166 0.9933599  -104.04168
3    15.05 -0.0065777748 0.5071 18.38187 103.23355 0.9934438  -105.37715
4    15.10 -0.0063668036 0.5197 18.13399 102.79939 0.9936534  -108.86894
5    15.15 -0.0063927502 0.5206 18.20570 102.11150 0.9936276  -108.42707
6    15.20 -0.0060344470 0.5413 17.97096 101.71299 0.9939837  -114.86507
7    15.25 -0.0058121884 0.5558 17.33504 101.05432 0.9942047  -119.25752
8    15.30 -0.0055936505 0.5696 18.91425 100.61782 0.9944220  -123.91678
9    15.35 -0.0046890875 0.6251 18.26926 100.19938 0.9953219  -147.82134
10   15.40 -0.0046970635 0.6265 18.59642  99.55295 0.9953140  -147.57032
11   15.45 -0.0047007164 0.6282 18.32402  98.89912 0.9953103  -147.45565
12   15.50 -0.0043277056 0.6529 19.45493  98.51209 0.9956816  -160.16505
13   15.55 -0.0038705129 0.6841 19.85740  98.08808 0.9961370  -179.08407
14   15.60 -0.0038622970 0.6863 19.30393  97.46543 0.9961452  -179.46501
15   15.65 -0.0034937374 0.7124 20.62619  97.06388 0.9965124  -198.39704
16   15.70 -0.0034855702 0.7145 20.16440  96.44685 0.9965205  -198.86192
17   15.75 -0.0032662850 0.7308 21.10117  96.01595 0.9967390  -212.21271
18   15.80 -0.0029787979 0.7526 21.19910  95.41480 0.9970256  -232.69359
19   15.85 -0.0026051497 0.7807 21.09071  95.02883 0.9973982  -266.06808
20   15.90 -0.0017628557 0.8464 22.51548  94.59834 0.9982387  -393.19565
21   15.95 -0.0017239267 0.8504 21.82332  93.99962 0.9982776  -402.07462
22   16.00 -0.0013485464 0.8814 23.46842  93.61467 0.9986524  -513.99580
23   16.05 -0.0013084195 0.8854 22.88296  93.02503 0.9986924  -529.75914
24   16.10 -0.0008299862 0.9260 23.64375  92.62931 0.9991704  -835.13102
25   16.15 -0.0004594910 0.9585 25.19238  92.24494 0.9995406 -1508.51103
26   16.20 -0.0004191679 0.9623 24.56623  91.67932 0.9995809 -1653.62663
27   16.25 -0.0002202328 0.9801 25.80806  91.27009 0.9997798 -3147.33799
28   16.30 -0.0001688570 0.9848 25.28091  90.70813 0.9998312 -4104.93559
29   16.35  0.0002094320 1.0191 25.78302  90.33906 1.0002095  3309.65345
30   16.40  0.0006813254 1.0632 27.51441  89.94707 1.0006816  1017.35108
31   16.45  0.0007296212 1.0674 27.11394  89.39677 1.0007299   950.00960
32   16.50  0.0018687271 1.1810 26.65533  89.02399 1.0018705   370.91943
33   16.55  0.0020516868 1.1994 26.10832  88.62046 1.0020538   337.84258
34   16.60  0.0021160354 1.2049 26.65323  88.08765 1.0021183   327.56881
35   16.65  0.0023029725 1.2238 26.79449  87.69569 1.0023056   300.97935
36   16.70  0.0025560499 1.2497 26.67716  87.20625 1.0025593   271.17904
37   16.75  0.0030239671 1.3003 28.00478  86.83792 1.0030285   229.21783
38   16.80  0.0031946808 1.3181 27.71046  86.45349 1.0031998   216.96915
39   16.85  0.0032487800 1.3221 27.53039  85.94653 1.0032541   213.35615
40   16.90  0.0036252876 1.3639 28.86010  85.60652 1.0036319   191.19785
41   16.95  0.0037970283 1.3821 28.82959  85.22562 1.0038042   182.54991
42   17.00  0.0038507064 1.3858 27.94216  84.73188 1.0038581   180.00520
43   17.05  0.0043178875 1.4395 29.38229  84.36900 1.0043272   160.52924
44   17.10  0.0046833710 1.4822 30.47519  84.02654 1.0046944   148.00177
45   17.15  0.0047340124 1.4851 29.41887  83.54057 1.0047452   146.41854
46   17.20  0.0058008078 1.6200 31.00035  83.16534 1.0058177   119.49149
47   17.25  0.0059631193 1.6384 32.36092  82.79562 1.0059809   116.23903
48   17.30  0.0063331131 1.6858 32.40002  82.46185 1.0063532   109.44810
49   17.35  0.0063970494 1.6897 31.90861  81.99890 1.0064176   108.35420
50   17.40  0.0068468952 1.7491 32.89574  81.65765 1.0068704   101.23525
51   17.45  0.0069885515 1.7651 34.25703  81.30545 1.0070130    99.18324
52   17.50  0.0072641856 1.7997 33.24953  80.89276 1.0072906    95.41981
53   17.55  0.0073986308 1.8148 33.73469  80.55210 1.0074261    93.68587
54   17.60  0.0075336868 1.8299 35.30091  80.20792 1.0075621    92.00637
55   17.65  0.0076660878 1.8446 35.21579  79.86635 1.0076955    90.41733
56   17.70  0.0079544203 1.8816 33.39290  79.46808 1.0079861    87.13987
57   17.75  0.0083931281 1.9430 33.14008  79.14012 1.0084284    82.58508
58   17.80  0.0085104197 1.9555 34.65995  78.80292 1.0085467    81.44689
59   17.85  0.0085493158 1.9543 33.83586  78.37260 1.0085860    81.07633
60   17.90  0.0086702226 1.9672 33.66790  78.03851 1.0087079    79.94572
61   17.95  0.0101231043 2.1963 34.55993  77.72064 1.0101745    68.47180
62   18.00  0.0102405627 2.2089 34.93504  77.38780 1.0102932    67.68643
63   18.05  0.0103559469 2.2211 36.47547  77.05742 1.0104098    66.93228
64   18.10  0.0107358933 2.2775 36.20806  76.66603 1.0107937    64.56353
65   18.15  0.0110989326 2.3344 36.41671  76.38166 1.0111608    62.45170
66   18.20  0.0111914634 2.3428 35.75395  76.07109 1.0112543    61.93535
67   18.25  0.0112843646 2.3512 37.39187  75.76198 1.0113483    61.42545
68   18.30  0.0113139156 2.3464 36.79332  75.38347 1.0113782    61.26501
69   18.35  0.0114083183 2.3551 36.57059  75.08409 1.0114736    60.75805
70   18.40  0.0117661173 2.4116 36.85442  74.81571 1.0118356    58.91044
71   18.45  0.0118465999 2.4176 38.02843  74.51719 1.0119170    58.51022
72   18.50  0.0122748993 2.4871 38.53482  74.22606 1.0123505    56.46867
73   18.55  0.0122922807 2.4791 38.19530  73.85900 1.0123681    56.38882
74   18.60  0.0123674713 2.4837 37.89752  73.55985 1.0124443    56.04599
75   18.65  0.0127179548 2.5399 38.21123  73.29203 1.0127992    54.50147
76   18.70  0.0127825975 2.5422 39.37507  72.99220 1.0128646    54.22585
77   18.75  0.0127905427 2.5318 39.17845  72.62636 1.0128727    54.19216
78   18.80  0.0141998667 2.7920 39.53839  72.30759 1.0143012    48.81364
79   18.85  0.0142770455 2.7960 41.08732  72.01699 1.0143794    48.54976
80   18.90  0.0146421525 2.8596 39.53198  71.75733 1.0147499    47.33916
81   18.95  0.0150702525 2.9366 39.38090  71.48204 1.0151844    45.99440
82   19.00  0.0151202590 2.9348 39.94523  71.20508 1.0152351    45.84228
83   19.05  0.0151227636 2.9206 39.90532  70.87257 1.0152377    45.83469
84   19.10  0.0151734240 2.9193 40.62131  70.60660 1.0152891    45.68166
85   19.15  0.0155252963 2.9819 39.88346  70.37294 1.0156464    44.64631
86   19.20  0.0155634463 2.9779 40.38757  70.11418 1.0156852    44.53687
87   19.25  0.0155964195 2.9729 40.80326  69.85821 1.0157187    44.44271
88   19.30  0.0155851086 2.9560 41.28124  69.54312 1.0157072    44.47497
89   19.35  0.0160210546 3.0349 40.49699  69.29497 1.0161501    43.26477
90   19.40  0.0160476673 3.0282 40.98574  69.04233 1.0161771    43.19302
91   19.45  0.0163900778 3.0890 40.61935  68.81282 1.0165251    42.29066
