    Temper          r      Ro      GRR        T   lambda        Dt
2    14.00 0.01836166  4.4215 10.04270 80.95560 1.018531 37.749708
3    14.05 0.01877686  4.5259 10.22828 80.40834 1.018954 36.914961
4    14.10 0.01919301  4.6310 10.45232 79.86098 1.019378 36.114560
5    14.15 0.01961261  4.7377 10.69833 79.31387 1.019806 35.341918
6    14.20 0.02003407  4.8464 10.88497 78.77760 1.020236 34.598414
7    14.25 0.02045867  4.9564 11.12707 78.23968 1.020669 33.880368
8    14.30 0.02088318  5.0679 11.30327 77.71453 1.021103 33.191651
9    14.35 0.02131233  5.1814 11.53366 77.18889 1.021541 32.523288
10   14.40 0.02174107  5.2952 11.76622 76.66601 1.021979 31.881931
11   14.45 0.02221442  5.4279 12.03803 76.14657 1.022463 31.202572
12   14.50 0.02264579  5.5447 12.18482 75.63623 1.022904 30.608209
13   14.55 0.02308493  5.6645 12.41191 75.12340 1.023353 30.025958
14   14.60 0.02351963  5.7840 12.67479 74.62258 1.023798 29.471006
15   14.65 0.02396194  5.9067 12.92408 74.12120 1.024251 28.927011
16   14.70 0.02447003  6.0581 13.15760 73.61643 1.024772 28.326372
17   14.75 0.02491404  6.1832 13.42748 73.12486 1.025227 27.821545
18   14.80 0.02535956  6.3098 13.65517 72.63944 1.025684 27.332778
19   14.85 0.02580817  6.4384 13.92574 72.15856 1.026144 26.857670
20   14.90 0.02625986  6.5686 14.22932 71.67976 1.026608 26.395689
21   14.95 0.02674737  6.7159 14.41888 71.20244 1.027108 25.914595
22   15.00 0.02720113  6.8486 14.67455 70.73399 1.027574 25.482298
23   15.05 0.02765649  6.9827 14.96039 70.27051 1.028042 25.062733
24   15.10 0.02811340  7.1177 15.24537 69.80957 1.028512 24.655400
25   15.15 0.02857218  7.2543 15.48442 69.35399 1.028984 24.259516
26   15.20 0.02903675  7.3930 15.80065 68.89660 1.029462 23.871373
27   15.25 0.02950091  7.5329 16.07516 68.44805 1.029940 23.495787
28   15.30 0.02996744  7.6739 16.26706 68.00130 1.030421 23.130008
29   15.35 0.03043556  7.8159 16.54979 67.55782 1.030903 22.774254
30   15.40 0.03090885  7.9604 16.90929 67.11602 1.031391 22.425521
31   15.45 0.03138321  8.1064 17.17419 66.68067 1.031881 22.086558
32   15.50 0.03195778  8.3036 17.49104 66.23392 1.032474 21.689465
33   15.55 0.03243254  8.4508 17.81410 65.80617 1.032964 21.371970
34   15.60 0.03291157  8.5998 18.06467 65.37941 1.033459 21.060898
35   15.65 0.03339426  8.7515 18.44415 64.95801 1.033958 20.756474
36   15.70 0.03387614  8.9024 18.64730 64.53867 1.034456 20.461222
37   15.75 0.03436107  9.0555 19.00343 64.12408 1.034958 20.172455
38   15.80 0.03484809  9.2105 19.34792 63.71494 1.035462 19.890535
39   15.85 0.03533899  9.3666 19.55140 63.30543 1.035971 19.614231
40   15.90 0.03583113  9.5245 19.86943 62.90250 1.036481 19.344832
41   15.95 0.03632249  9.6824 20.21583 62.50424 1.036990 19.083140
42   16.00 0.03681916  9.8424 20.58159 62.10624 1.037505 18.825721
43   16.05 0.03734933 10.0231 20.86261 61.71175 1.038056 18.558492
44   16.10 0.03784730 10.1844 21.22880 61.32161 1.038573 18.314311
45   16.15 0.03834921 10.3471 21.58620 60.93232 1.039094 18.074615
46   16.20 0.03885592 10.5127 21.96431 60.54636 1.039621 17.838910
47   16.25 0.03936243 10.6772 22.29447 60.16169 1.040147 17.609358
48   16.30 0.03987072 10.8432 22.59787 59.78166 1.040676 17.384866
49   16.35 0.04038382 11.0113 22.95090 59.40305 1.041210 17.163983
50   16.40 0.04095519 11.2148 23.26878 59.02145 1.041805 16.924527
51   16.45 0.04147090 11.3850 23.62866 58.65068 1.042343 16.714061
52   16.50 0.04198885 11.5555 23.95693 58.28122 1.042883 16.507887
53   16.55 0.04250668 11.7267 24.41165 57.91722 1.043423 16.306784
54   16.60 0.04302882 11.8995 24.89120 57.55436 1.043968 16.108904
55   16.65 0.04358472 12.0943 25.00686 57.19284 1.044548 15.903443
56   16.70 0.04410874 12.2687 25.59350 56.83797 1.045096 15.714510
57   16.75 0.04463216 12.4429 25.89966 56.48730 1.045643 15.530218
