   Temper             r     Ro       GRR        T    lambda          Dt
2    15.0 -0.0087729491 0.6285  8.446618 52.93764 0.9912654   -79.00960
3    15.5 -0.0070773211 0.7035  9.644402 49.69216 0.9929477   -97.93920
4    16.0 -0.0064779385 0.7399 10.101701 46.50248 0.9935430  -107.00120
5    16.5 -0.0036848301 0.8507 11.705389 43.88146 0.9963220  -188.10831
6    17.0 -0.0005559121 0.9772 12.309053 41.48847 0.9994442 -1246.86473
7    17.5  0.0021601606 1.0887 14.838782 39.34167 1.0021625   320.87761
8    18.0  0.0046308970 1.1889 15.392700 37.36393 1.0046416   149.67882
9    18.5  0.0082373444 1.3412 17.683250 35.63827 1.0082714    84.14692
10   19.0  0.0111924198 1.4628 17.817070 33.98304 1.0112553    61.93006
11   19.5  0.0135824003 1.5560 18.914463 32.55083 1.0136751    51.03275
12   20.0  0.0169926150 1.7004 19.938587 31.24084 1.0171378    40.79108
13   20.5  0.0130413537 1.4735 18.642725 29.72395 1.0131268    53.14994
14   21.0  0.0193215907 1.7428 18.705255 28.74986 1.0195095    35.87423
15   21.5  0.0185573024 1.6765 18.536402 27.84393 1.0187306    37.35172
16   22.0  0.0230896246 1.8686 20.551470 27.07664 1.0233583    30.01985
17   22.5  0.0220723797 1.7916 20.558892 26.41804 1.0223178    31.40337
18   23.0  0.0208710623 1.7159 19.457504 25.87016 1.0210904    33.21092
19   23.5  0.0241836330 1.8488 21.124582 25.41127 1.0244784    28.66183
20   24.0  0.0229369892 1.7769 19.325523 25.06302 1.0232021    30.21962
21   24.5  0.0165985915 1.5034 17.357665 24.56408 1.0167371    41.75940
22   25.0  0.0176117510 1.5400 17.268938 24.51672 1.0177678    39.35708
23   25.5  0.0163408890 1.4938 16.448864 24.55945 1.0164751    42.41796
24   26.0  0.0097244192 1.2700 15.347542 24.57904 1.0097719    71.27903
25   26.5  0.0082551392 1.2276 15.362812 24.84041 1.0082893    83.96554
26   27.0  0.0042246666 1.1122 14.178658 25.17123 1.0042336   164.07145
27   27.5  0.0044149661 1.1196 13.830686 25.58830 1.0044247   156.99943
28   28.0  0.0026072391 1.0708 12.486881 26.23696 1.0026106   265.85485
29   28.5 -0.0137363672 0.6937  9.203402 26.62390 0.9863575   -50.46073
30   29.0 -0.0172899315 0.6218  8.352932 27.48055 0.9828587   -40.08964
31   29.5 -0.0204760869 0.5581  6.968532 28.48284 0.9797321   -33.85155
32   30.0 -0.0249541643 0.4767  6.403927 29.68915 0.9753546   -27.77681
